timestamp,open,high,low,close,volume
2019-03-08,722.9500,722.9500,710.6500,712.3500,7193994
2019-03-07,734.0000,734.5000,720.5500,722.9500,5951391
2019-03-06,736.1000,736.1000,727.0000,732.5000,6076668
2019-03-05,740.5000,742.5000,730.2500,732.5000,4826505
2019-03-01,735.5000,743.4000,735.5000,741.9000,3998826
2019-02-28,738.7000,742.4000,732.3000,734.3000,8559921
2019-02-27,745.0000,746.4000,732.7500,735.2500,5936354
2019-02-26,748.6000,752.6000,740.1500,742.5000,8319610
2019-02-25,735.5500,758.0000,735.5500,754.9000,6547552
2019-02-22,732.5000,738.2000,728.0000,734.9500,3750833
2019-02-21,738.0000,738.0000,727.1000,733.4500,7202786
2019-02-20,727.0000,743.0000,726.0500,740.7000,5210675
2019-02-19,739.1000,740.5500,721.3000,724.3000,9401334
2019-02-18,742.3500,747.6500,736.0000,741.0500,5346825
2019-02-15,742.3000,746.5000,732.6000,741.9500,5586389
2019-02-14,751.0000,753.0000,737.2500,740.0500,4610535
2019-02-12,760.3500,760.3500,741.0000,750.4500,7310690
2019-02-11,766.9000,768.7500,759.0000,762.8000,5500216
2019-02-08,760.0000,772.2500,754.9000,760.9000,5915169
2019-02-07,763.0500,769.4500,761.0000,764.0000,3961797
2019-02-06,755.5500,766.9500,754.3500,763.3000,5880482
2019-02-05,747.0000,759.9500,747.0000,754.8500,4694365
2019-02-04,757.0000,762.5000,749.2000,755.9000,3945391
2019-02-01,751.3500,762.5000,744.5000,757.0500,6276585
2019-01-31,726.0000,751.3000,726.0000,749.5500,13825233
2019-01-30,727.9000,734.8000,721.1000,725.9000,5763026
2019-01-29,725.5000,732.8500,716.5000,727.9000,6760819
2019-01-28,731.0000,732.6000,719.0000,727.9500,7944693
2019-01-25,728.0000,737.9000,724.2500,730.3500,5543112
2019-01-24,728.1000,736.1000,721.0000,732.0000,7429783
2019-01-23,742.3500,742.6000,729.2000,731.6500,7212099
2019-01-22,741.2500,749.0000,734.0000,745.3500,6723375
